00 Person
00 9995
00 no additional info
00 1
00 111
00 male
00 200
00 6
00 Data was recorded 60 times per second
00 Date and Time: 2/5/2024 10:48:12 AM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):266879.5  stage:0 time_period:30 sway_degree:-5 #_of_sways:60 rep:1
01 timestamp(ms):272203.4 force plate (fx, fy, fz, mx, my, mz):0.633873,0.2040157,-0.9150391,-14.44275,-1.539368,-0.1470652
01 timestamp(ms):272235.5 force plate (fx, fy, fz, mx, my, mz):0.6380596,0.1983128,-0.1660156,-14.23444,-1.671417,-0.1480598
01 timestamp(ms):272267.6 force plate (fx, fy, fz, mx, my, mz):0.6336536,-0.04924774,-0.1665039,-14.11945,-1.738037,-0.1056542
01 timestamp(ms):272303.6 force plate (fx, fy, fz, mx, my, mz):0.3014622,-0.2926826,-0.168457,-14.10822,-1.687134,0.02955008
01 timestamp(ms):272340.9 force plate (fx, fy, fz, mx, my, mz):0.9703426,-0.0588665,0.3967285,-13.54712,-1.954254,-0.01450777
01 timestamp(ms):272377.3 force plate (fx, fy, fz, mx, my, mz):0.634491,-0.06757164,0.2087402,-13.49475,-1.937073,-0.1094832
01 timestamp(ms):272404.1 force plate (fx, fy, fz, mx, my, mz):0.9702606,-0.3064938,0.2121582,-13.48328,-1.854584,-0.05675077
01 timestamp(ms):272442 force plate (fx, fy, fz, mx, my, mz):0.9616661,0.406292,-0.7236328,-12.73621,-2.088715,-0.02155352
01 timestamp(ms):272469.9 force plate (fx, fy, fz, mx, my, mz):0.9634113,0.4080658,-0.5366211,-12.78839,-2.055206,-0.02122784
01 timestamp(ms):272502.9 force plate (fx, fy, fz, mx, my, mz):0.9633064,0.8969688,-0.7226563,-12.75842,-2.088745,-0.02287531
01 timestamp(ms):272534.7 force plate (fx, fy, fz, mx, my, mz):0.9628944,1.112745,0.5895996,-11.67566,-2.25351,0.01196241
01 timestamp(ms):272573.3 force plate (fx, fy, fz, mx, my, mz):0.9646416,1.114519,0.7766113,-11.72778,-2.220032,0.01228857
01 timestamp(ms):272608.7 force plate (fx, fy, fz, mx, my, mz):1.616211,0.8674984,0.7810059,-11.71509,-2.122498,-0.2140365
01 timestamp(ms):272647 force plate (fx, fy, fz, mx, my, mz):0.6071625,2.567347,-1.279541,-11.32428,-1.939697,-0.005676746
01 timestamp(ms):272690 force plate (fx, fy, fz, mx, my, mz):0.9347267,2.569723,-1.279541,-11.42859,-1.924194,-0.09728718
